Disease,Do's,Don’ts
Hepatitis C,Do get regular blood tests to monitor your liver function and viral load.@Follow a low fat; lower sodium; high fiber diet with lots of fresh fruits and vegetables.@Work towards freedom from alcohol; tobacco; and drugs to support your liver health.,Don't share needles; syringes; or other drug paraphernalia with anyone.@Don't take any supplements; herbs; or over-the-counter medications without checking with your doctor first.@Don't ignore any signs of liver damage; such as jaundice; abdominal pain; or swelling.
Hepatitis D,Do get vaccinated for hepatitis B; as it can prevent hepatitis D infection.@Avoid alcohol; drugs; and tobacco; and practicing safe sex and hygiene.@Do seek medical attention if you have symptoms of hepatitis; such as fever; fatigue; nausea; vomiting; or jaundice.,Don't take any medication that may affect your liver; such as acetaminophen; without your doctor's approval.@Don't eat raw or undercooked meat or shellfish; as they may contain hepatitis D virus.
Hepatitis E,Practice good hygiene; including thorough handwashing with soap and water.@Ensure consumption of safe and properly cooked food; particularly when handling or consuming meat.@;Avoid consuming raw or undercooked shellfish; as they can be a source of the virus.,Don't drink untreated water from potentially contaminated sources.@Avoid close contact with individuals who have Hepatitis E to prevent transmission.@Avoid consuming raw or undercooked shellfish; as they can be a source of the virus.
Alcoholic hepatitis,Stop drinking alcohol completely; as it is the main cause of alcoholic hepatitis.@Seek professional help for alcohol addiction; such as counseling; therapy; or support groups.@Eat a nutritious diet that is low in fat and salt; and high in protein and fiber.,Don't drink coffee; tea; or other caffeinated beverages@;Don't smoke; as it can impair your liver function.@Don't ignore any symptoms of liver failure; such as jaundice; abdominal pain; or swelling; and seek emergency care immediately.
Tuberculosis,Follow the complete course of prescribed antibiotics.@Practice good respiratory hygiene; like covering your mouth when coughing.@Maintain good nutrition to strengthen your immune system.;Avoid close contact with others until you're no longer contagious.,Do not stop taking medications without consulting your healthcare provider.@Avoid alcohol and smoking during the treatment period.
Common Cold,Stay hydrated with fluids like water; herbal teas; and broths.@Get plenty of rest to support your immune system.@Use saline nasal spray or drops; or a humidifier or vaporizer; to moisten your nasal passages and relieve congestion.;Avoid close contact with others to prevent spreading the virus.,Don't rely solely on antibiotics; colds are usually viral; and antibiotics won't help.@Avoid excessive use of nasal decongestant sprays to prevent rebound congestion.
Pneumonia,Do seek medical attention if you have symptoms of pneumonia; such as fever; chills; cough; chest pain; or shortness of breath.@Stay hydrated with water and other fluids.,Don't ignore symptoms like difficulty breathing; seek medical attention promptly.@Avoid smoking and limit exposure to secondhand smoke.
Dimorphic Hemorrhoids (Piles),Do eat a high-fiber diet; such as fruits; vegetables; whole grains; and legumes; to soften your stools and prevent constipation and straining.@Do use over-the-counter creams; ointments; or suppositories; or sitz baths; to relieve the pain; swelling; and itching of your hemorrhoids.@Do exercise regularly; and avoid sitting or standing for long periods; to improve your blood circulation and prevent pressure on your veins.,Don't use dry or rough toilet paper; or wipes that contain alcohol@Don't lift heavy objects; or engage in strenuous activities@Don't scratch or rub your hemorrhoids
Heart attack,Do chew and swallow an aspirin; unless you are allergic or have been told not to by your doctor; as it can help prevent blood clots and reduce the damage to your heart.@Do loosen any tight clothing; and sit or lie down in a comfortable position@Seek emergency medical help immediately if you suspect a heart attack.,Don't ignore chest pain or discomfort.@Avoid heavy meals and excessive alcohol consumption.@Don't abruptly stop medications without consulting your healthcare provider.
Varicose veins,Elevate your legs above your heart level; especially when resting or sleeping; to improve your blood flow and reduce swelling.@Wear compression stockings as advised.@Maintain a healthy weight and engage in regular exercise.,Avoid prolonged standing or sitting.@Don't wear tight clothing that constricts blood flow.@Avoid high heels for extended periods.
